season,date,league_id,league,team1,team2,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,importance1,importance2,score1,score2,xg1,xg2,nsxg1,nsxg2,adj_score1,adj_score2
2017,23-12-17,1869,Spanish Primera Division,Real Madrid,Barcelona,93.33,94.4,0.4495,0.3291,0.2214,1.97,1.67,85.5,89.5,0,3,1.51,4.11,1.84,2.14,0,2.31
2017,07-01-18,1869,Spanish Primera Division,Celta Vigo,Real Madrid,71.11,92.43,0.1831,0.6345,0.1824,1.34,2.56,11.2,13.9,2,2,2.14,2.38,1.62,2.14,2.1,2.1
2017,13-01-18,1869,Spanish Primera Division,Real Madrid,Villarreal,91.97,70.7,0.8273,0.055,0.1177,2.89,0.64,16.3,38,0,1,2.66,1.02,3.54,0.93,0,1.05
2017,21-01-18,1869,Spanish Primera Division,Real Madrid,Deportivo La Coruña,91.39,63.47,0.8724,0.0364,0.0913,3.18,0.55,29.1,39.3,7,1,3.43,1.89,3.59,0.62,6.33,1.05
2017,27-01-18,1869,Spanish Primera Division,Valencia,Real Madrid,74.93,91.7,0.2317,0.5677,0.2006,1.45,2.33,70.8,18.8,1,4,1.24,3.01,2.07,1.26,1.05,3.37
2017,03-02-18,1869,Spanish Primera Division,Levante,Real Madrid,58.38,91.96,0.1087,0.7369,0.1543,0.97,2.71,44.9,9.3,2,2,1.43,1.58,0.82,2.61,2.1,2.1
2017,10-02-18,1869,Spanish Primera Division,Real Madrid,Real Sociedad,91.31,76.45,0.7654,0.0992,0.1354,3.05,1.07,14.6,12.9,5,2,5.19,0.98,3.77,1,4.99,2.1
2017,14-02-18,1818,UEFA Champions League,Real Madrid,Paris Saint-Germain,91.73,92.09,0.4421,0.3378,0.2202,1.99,1.73,100,100,3,1,2.61,1.2,1.3,1.45,2.73,1.05
2017,18-02-18,1869,Spanish Primera Division,Real Betis,Real Madrid,64.16,92.05,0.1372,0.7091,0.1537,1.29,2.95,6.4,7.3,3,5,2.51,1.72,1.54,1.45,3.15,4.73
2017,21-02-18,1869,Spanish Primera Division,Leganes,Real Madrid,66.17,91.4,0.1647,0.6416,0.1937,1.08,2.29,2.7,5.4,1,3,1.05,2.09,1.13,2.07,1.05,2.63
2017,24-02-18,1869,Spanish Primera Division,Real Madrid,Alavés,91.47,66.23,0.8547,0.043,0.1024,3.04,0.58,6,5.6,4,0,3.63,0.58,3.18,0.92,3.71,0
2017,27-02-18,1869,Spanish Primera Division,Espanyol,Real Madrid,65.75,91.89,0.1544,0.6604,0.1853,1.08,2.4,5.1,2,1,0,0.95,1.54,1.29,1.36,1.05,0
2017,03-03-18,1869,Spanish Primera Division,Real Madrid,Getafe,91.32,73.46,0.789,0.069,0.142,2.58,0.63,3.5,6.5,3,1,2.21,0.89,3.6,0.37,2.78,1.05
2017,06-03-18,1818,UEFA Champions League,Paris Saint-Germain,Real Madrid,91.4,91.43,0.5285,0.2636,0.208,2.24,1.56,100,100,1,2,1.27,2.37,1.42,2.11,1.05,1.89
2017,10-03-18,1869,Spanish Primera Division,Eibar,Real Madrid,74,91.93,0.2218,0.5685,0.2098,1.29,2.16,6.2,2.1,1,2,1.42,2.14,1.24,1.65,1.05,2.1
2017,18-03-18,1869,Spanish Primera Division,Real Madrid,Girona FC,91.93,72.46,0.8113,0.0647,0.1239,2.89,0.72,1.7,7.8,6,3,3.9,1.79,2.56,1.02,5.37,3.15
2017,31-03-18,1869,Spanish Primera Division,Las Palmas,Real Madrid,55.67,91.71,0.0937,0.7806,0.1258,1.13,3.25,42.2,0.3,0,3,0.81,3.7,0.96,1.19,0,3.15
2017,03-04-18,1818,UEFA Champions League,Juventus,Real Madrid,88.29,92.02,0.4526,0.3042,0.2432,1.7,1.36,100,100,0,3,1.55,3.25,1.84,2.49,0,2.91
2017,08-04-18,1869,Spanish Primera Division,Real Madrid,Atletico Madrid,92.95,86.36,0.6154,0.1847,0.2,2.25,1.16,0.8,2.5,1,1,2.8,1.28,3.9,1.04,1.05,1.05
2017,11-04-18,1818,UEFA Champions League,Real Madrid,Juventus,92.95,86.49,0.5811,0.2043,0.2146,2.08,1.16,100,100,1,3,3.8,2.67,2.34,1.3,0.84,3.15
2017,15-04-18,1869,Spanish Primera Division,Málaga,Real Madrid,62.09,92.5,0.122,0.7136,0.1644,1,2.61,4.5,0.4,1,2,1.06,2.19,1.04,2.66,1.05,2.1
2017,18-04-18,1869,Spanish Primera Division,Real Madrid,Athletic Bilbao,92.37,70.43,0.8377,0.0559,0.1064,3.19,0.76,0.1,0,1,1,1.9,0.85,3.07,0.75,1.05,1.05
2017,25-04-18,1818,UEFA Champions League,Bayern Munich,Real Madrid,93.85,91.92,0.5636,0.2411,0.1953,2.46,1.59,100,100,1,2,2.74,0.74,2.52,1.03,1.05,2.1
2017,28-04-18,1869,Spanish Primera Division,Real Madrid,Leganes,92.04,66.19,0.8622,0.0356,0.1023,2.89,0.46,0,0.1,2,1,2.05,1.99,1.05,1.8,2.1,1.05
2017,01-05-18,1818,UEFA Champions League,Real Madrid,Bayern Munich,91.06,93.33,0.4125,0.3774,0.2101,2.1,2.01,100,100,2,2,2.1,4.17,1.33,3.27,2.1,2.1
2017,06-05-18,1869,Spanish Primera Division,Barcelona,Real Madrid,91.03,90.72,0.5042,0.3025,0.1933,2.53,1.97,0,0,2,2,1.78,1.87,1.5,1.97,2.1,1.89
2017,09-05-18,1869,Spanish Primera Division,Sevilla FC,Real Madrid,73.21,90.95,0.2269,0.5845,0.1886,1.58,2.56,0,0,3,2,2.51,2.51,1.42,1.26,2.8,2.1
2017,12-05-18,1869,Spanish Primera Division,Real Madrid,Celta Vigo,90.29,69.02,0.8186,0.0703,0.111,3.33,0.96,0,0,6,0,2.06,0.23,2.04,0.99,5.94,0
